내용,결과,,긍정 댓글 수,부정 댓글 수,중립 댓글 수
백신 완전한 나가리 결론 치료받는 셀트리온 만세,33.75의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
맞으려는 사람 정상 안 맞으려는 사람 정상 강요 하는 사람 비정상,34.14의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
안 맞는 게 맞는 거,34.49의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
연관 성 인정 안 해주,34.07의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
단 예약 했으면,35.53의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
맞은 멀 정 사람 사지 마비 되는 누워 있는 국가 더해준 게 머냐,34.06의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
선동 질 안산 가지 고 그랬듯이,34.97의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
뉴스 믿음 건 날짜 엄마 그랬어요,34.01의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 않은,34.39의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
돌았나 차 맞는 이제 주 지나간 게 뜨 고 올해 실험 쥐냐,34.02의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
주사 맞는 죽는 연관 없는 불면 이지 개 튼,34.07의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
욕 나오려 하는 차 접종 했으면,33.95의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
단 분 주변 백신 부작용 고생 하신 모습 본 사람 사람 남 맞은 말 쉽게 못 하신 겁니다 정말 가슴 아픈 무서워요 그런 사람 특정 직 맞는 잘 못 되면 아무런 책임지는 감정 없는 가운 빳 이러고 맘,36.04의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
인과성 인정 안 하는 건 아닌,34.31의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
어째 거,35.13의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
안 맞은,34.06의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
어쩌자 고 남 맞든 말 상관,34.02의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
인과성 없는 게 아닌 못 찾았다고 해보는,33.86의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 사전예약 대상자 기간 아닌 팝업 만 뜨고 안 되는 조롱 당 국민 일인 입니다 사전예약 률 저조한 이유 무능 때문 입니다,34.4의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
맞은,34.41의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
독감 주사 사망,35.54의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
인과성 별로 신뢰 안 가는,33.69의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
진짜 대한민국 국민 대단 대단 노래 잘 갖다 붙이 넼,35.05의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백 신비 추천 합니다 진짜 후회 주 째 부작용 시달리는 데 힘듭니 평생 없는 염증 생기는 병원 약 먹어도 낫질 않은 요하 코로나 걸리는 낫네요 그땐 일주일 회복 했지,34.09의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
맞든 안 맞든 적자생존 아닌 자연 법칙 지 살아남는 게 강한,34.04의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
건강하세요,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
치명 률 내 기준 낮은 보는데 경제 파탄 내면서까지 통제 해보는,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 예약 했으면 무서운 못 맞은,33.8의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
윗 안 맞는 이유 있단다,34.14의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
난 무서워 안 맞을래 짜리 맞은 보는 완전한 면역 아니니 깐 나중 완전한 면역 안전한 거나 오면 맞아야겠다,33.97의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
간 연구 진화 되는 독감 백 신도 방어 되는 않은 코로나 백신 완전한 방어 되는 백신 건 없는 면역 만들어주고 면역 강화하는 현실 영화 아닌 아이언맨 나노 로봇 주입 해서 세균 감염 막냐 나중 코로나 안정화 되면 독감 번 맞는 될 듯,34.72의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
난 백 신 평소 뭘 방 맞은 열도 안 체질 모던 아무렇게나 증상 없었다 약 체계 까다로운 분 보는 뭣 만 하면 올라오고 목숨 걸 만큼 힘드니 심정 상상 안 가긴 하는 사실 땅콩 알레르기 있는 사람 흩날리는 땅콩 가루 호흡 곤란 사망 할 수도 있는 거 건강 문제 최악 상황 생각 방안 나오는 하는 힘든 듯 개인 백신 맞은 좋았음,39.34의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
비교 잘 못 된 거임 조건 부 확률 이용 눈 속임이 내 걸리는 사람 사망률 하는 높은 뉴스 눈 속 임해 되는,34.38의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
요즘 기자 사고력 깊고 넓지 못 데 이유 뭘 까 통계 자료 자체 제대로 된 인지 파악 자료 취합하 보도 주시길,35.1의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 정치 통제 규제 하지 말라,33.84의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
내 주위 코로나 걸리는 후유증 얻은 경우 없는 내 지인 지인 코로나 백신 접종 후 심각한 두통 두 케이스 생활 불편 줄 정도 어지럼증 접종 후 지나간 심각하게 혈소판 수치 낮아져 중환자실 입원 있지만 진본 접종 후 주가 지나간 백신 부작용 인정 안 해주는 경우 지인 동네 건강한 할머니 백신 접종 주지 나고 갑자기 돌아가는 후 가족 장례 치르고 아차 경우 내 자세히 쓰는 이유 코로나 백신 부작용 통계 잡히지 안고 주위 널린 게 팩트 임,34.22의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
차 접종 사망자 차 접종 사망 자랑 코로나 사망자 비교 해주는 좋은,33.98의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 부작용 알려주면서 초기 코로나 후유증 자세하게 적는 언론 없더란 말 이지,33.79의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
코로나 사망자 정확히 연령 대가 많은 질병 걸리는 중환자 인지 아무렇게나 질병 없는 코로나 사망자 많은 정확한 말 하지 못 하는 이유 뭘 까는 백신 사망 여러 사례 대해 원인 인지 말 없을까 양성 인지 음성 인지 정확히 보도 하여 양성 환자 만 통계 내어 내주면 되는 천 명 확진된 되었다느니 하며 국민 겁 줍니까 미스터리 입니다,34.45의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
어릴 다양한 백신 완료 요즘 젊은 세대 문제 없는 걱정 마라 나도 맞은 국민 접종 완료 필수 래야 위드 코로나 영국 살 수 젊은이 깨어 나라,35.34의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 맞은 아무렇게나 문제 없는 문제 생기는 면 해결 할 수도 없는,35.11의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
사람 백신 맞는 사망 하는 부작용 염두 두고 무서워하는 게 아닌 부작용 게 뒤 계기 통해 올 수도 있는 뭔가 부작용 최 솟 값 드는 와서 뉴스 발표 하는 내용 이라 찝찝하네요,37.22의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
독도 땅 쓰이라고 작곡 된 노래 아닌 저작권 알 면 큰 화날 듯,34.81의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 맞는 운 나쁘면 죽어야 되는 이상한데 치사 율 코로나 다음갈 정도 적지 않은 아이러니 함,34.31의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
코로나 이제 무서워 해도 될 치사 율 졸았을까,34.09의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 분명 죽는 거 나라 핑계 핑계 대면 보상 안 해주는 그거 야말로 개죽음 부작용 사바 사라 그게 나일 수도 있는 거 누가 안심 맞을까요,35.35의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
정치 방역 멈추고 백신 접종 효과 있는 생각 든다,34.92의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 안 맞은 땡큐 안 부족한 백신 인 데 스스로 양보 해주니 고맙네요 양보 해주는,36.3의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 안 맞는 코로나 걸리는 병원 비 보상 해주 해준다면 안 맞은,39.17의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
감염 나을 같은,34.62의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
코로나 독감 백신 맞은 독감 안 걸리는 거 아닌,36.28의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
코로나 무서운 이유 치명 률 때문 이라 생각 함 전파 때문 무서운 거임 젊은 세대 만 생각 하면 괜찮지 혹 가족 아기 어르신 옮 큰일 났다 생각 해봐라 그냥 현재 상황 백신 접종 률 올리고 정도 올랐을 거리 기 완화 하는 게 최고 방법 아닌 솔직히 최선 생각 합니다,34.86의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
난 이제 누가 맞는 모르는 맞은 되는 마는 되는,34.21의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
눈 가리고 하며 빌 개쥐츠 돈벌이 딥스 권력 싹 쓸이 돕는 쓰레기 저주 받아라,35.12의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
시초 중국 코로나 비위생적 방역 개판 인도 델타 변 전 세계 손해배상 청구 할까,34.76의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
젠 질병 가챠 걸리는 시대,34.11의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
아스 트 카 백신 맞았는 데 며칠 힘들어하고,33.84의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
만 뉴스 계산 접종 후 사망률 바른 계산 코로나 치명 률 분 뭔가 안 이상함 치명 률 이란 확 진자 죽는 사람 만 계산 거임 코로 나로 인한 죽는 사람 숫자 카운트 하는 데 있는 확진비 확진된 분할 필요한 있는 하러 굳이 확 진자 죽는 사람 숫자 따져 대가 백신 접종 후 죽 확률 대비 대가 코로나 죽 확률 계산 하려면 전체 사람 코로나 죽는 사람 명인 가를 따지면 만인 하러 확 진자 서만 죽는 사람 계산 거치어 계산 러하 사람 안 믿는,38.31의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
뉴스 의료 계 종 사자 간호사 접종 률 다뤄 봅시 치가 구금 함,34.29의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
안전한 거임 재수 없는 가내 될 수 있던 게 무서운 거임 맞은 하는 겁나서 못 맞은 갈팡질팡,34.35의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
나도 안 맞으려다 백신 예약 했으면 백신 망명 인정 부분 취소 해보는 할지 고민,33.97의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
솔직히 말 해서 불안한 안 맞은 되는 시위 있는 어차피 맞은 사람 맞은 시위 하면 코로나 확진된 되는,36.2의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
팩트 언론사 백신 가지 고 편식 하는 했으면 언론사,33.86의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
솔직히 여명 사망 심하다 국내 코로나 사망자 여명 정도 백신 맞다간 국내 코로나 사망자 수치 능가 할 수도 누가 맞는 치료받는 기다리지,34.11의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
물 백신 맞은 마나 죽 수 있던,34.88의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
주변 백신 맞는 날 사망 하신 분도 인과성 없는 백신 사망자 포함 안 시키던 데 상황 통계 치를 믿음 수 있겠냐,35.72의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
현재 사용 중인 코로나 백신 임시 사용승인 만난 거 새 실험 완료 되는 시기 합니다 완성 되는 못 백신 무료 맞추려는 의도 인지 궁금한 코로나 걸리는 죽는 사람 병 죽는 사람 거기 검사 해서 나오기만 하면 가져다 붙입니다 코로나 순수 죽는 사람 망 반대 기 질환 있지만 건강한 사람 명 남게 죽었어요 백신 맞은 하는,35.98의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
그냥 전 세계 사람 상대로 마루타 실험 하는 느낌 드는 건 만 그런 건 가난 안 맞은,35.2의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 이란 건 효과 달라 서로 맞은 하는 약 기피 할까 생각 이란 걸 좋은 걸 사람 기피 하는 지단 확률 멀쩡한 사람 죽는 게 나라 면 기피 하는 된다 게 중요한 어떠한 게 인과성 인 정 안 하려는 급하게 승인 된 백신 일부 미국 간호사 백신 거부 국민 불신 키웠다,36.59의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
나라 까 쓰레기 같은 나라 태어나게 하늘 원망 스럽다,35.05의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 맞은 전 별의별 생각 들어서 스트레스 받음 결론 맞는 죽으나 걸리는 죽으나 한가지 여서 맞은 기질 횐 라서 맞는 나니 홀 가분 접종 째 모름,37.31의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
주장 오버 보통 임상실험 걸리는 약 고 작년 짜리 임상실험 후 출시 된 약 지금 전 세계 사람 상대로 임 상 모아 나가겠지만 백신 개발 화사 말 했으면 걸 기억 해보는 하는 죽는 책임지는 안 진다 없는 거,37.13의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
앞 최소 연간 부작용 모르잖아 기간 지나면 연 관성 없는 자연사 데 임 상 연구 나온 지금 임상실험 대상 인 거 맞은 갑자기 두드러기 번 빠이 올라오고 안 아픈 어깨 치료받으러 다니는 거 병원 갔더니 기간 지났다고 연관 없다네 후 부작용 아니래,34.63의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
난 코로나 백신 안 맞은 거 못 믿겠어,37.55의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
맞은 맞은 말 월일 맞는 무섭다,34.46의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
인과성 인정 안 하잖아 인정전 안 되는 게 말 되는,34.29의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
웃기는 사람 많은 부모님 백신 맞는 죽었으면 안 우연 일치 지병 죽었구나 할 아닌 웃고 가는,36.18의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
서로 맞는 틀리고를 떠나는 나라 믿음 안주,34.12의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
인과성 관계 인정 안 하는 거 잖아 연령 층 내리더니 언론 플레이 오지 맞은 되면 모름 진짜 뻔뻔스럽네,34.94의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
그냥 의무 접종 알아보는 선택 하시오,33.78의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 맞은 싫은 안 맞은 되지요,36.79의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
가짜 뉴스 징역형 처 하기를,34.03의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
코로나 안 죽으면은 백신 맞혀서 부작용 죽이더라고요,34.08의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
확 진자 수 대비 사망률 적네,34.03의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
사망자 명 잡고 접종 만 명 잡았는데 우리나라 차 접종 만 명 되는 잘 몰라서,34.17의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
코로나 걸리는 확률 코로나 걸리는 확률 코로나 치사 율 백신 사망률 비교 해보는,33.9의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
실험 결과 없는 주차 맞는 백신,34.53의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
역시 건강 목걸이 팔찌 잘 팔리는 유사과학 나라,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
뉴스 보고 이상함 못 느끼는 사람 지능 탓 해보는 우리나라 사람 지능 낮지,34.25의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
미국인 안 맞은 하는 이유 저런 짭 뉴스 때문 저걸 드는 와서 팩트 하는 짭 기리 잘 노,34.64의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
코로나 때문 세상 무식하고 찐 따 종류 별로 구경 하는 게 재미 임 독감 주사 맞는 죽는 사람 있는 건 알 지,34.8의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
가스 팅 오지 게 코로나 치명 률 만 계산 하지 코로나 걸리는 확률 쏙 빼놓고 울 질함,34.23의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 지금 맞은 손해 인 유가 지지 안전한 접종 해놓고 맞는 죽는 온갖 지병 탓 접종 후 아픈 응급실 가면 내 돈 처리 코로 걸리는 나라 전액 지원 접종 하면 예방 돼야지 걸림,36.51의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
말 안 되는 소리 코로 땜 백만이 죽었는데 저런 헛소리 나라 백신 맞는 싶은 못 맞는 죽는 사람 많은,36.63의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 위험한,34.44의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
국민 불안해하는지 알면서도 방송 만드는 정신 이냐,34.03의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
우안 맞은 맞은 했으면 기사 보는 요즘 백신 맞은 문자 오지 게 오는데 진심 짜증 난다,33.9의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
인과성 성명 죽는 사람 개죽음 당하는 거,34.26의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
코로나 백신 사망률 비교 하는 거 자체 백신 망한 거 같은 의사 양반 인과성 관계 이야기 하던 데 의료사 고 나도 인과성 없는 의료사 고 피해자 보상 못 받는 거 아는 들먹이네,34.5의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
제목 만 보는 안 위험하다고 결론 나오는 거,33.83의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 부작용 심각한 듯 방송 안 보낸다 집단 면역 없는 걸리는 낫던지 죽은 슬프다,34.35의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
악마 임 모로 없는 속지 말,34.07의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
급하게 접종 할 백신 필요했기에 과정 속 부족함 넘칠 분명하고 접종 후 사망 관 비교 부족하니 접종 후 며칠 내 돌연사 해도 인과성 파악 난 센스 인과성 없는 사망 사망률 포함 되는 않은 게 조삼모사 아닐는지 백신 시국 한정 해서 접종 후 수일 내의 사망자 국가 책임지는 하는 생각 하는,35.02의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 안 해지 가지 지하,34.71의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
댓글 영상 안 보고 적는 백신 접종 후 사망률 안되는데 백신 맞은 안 된다 위험한 하는 건 뭐임 내일 출근 죽 수도 있는 출근 하지 말 지,39.19의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
채널 전 백신 안 가져온다고 머 하지 않은 나라 백신 맞는 거 보는 위험해도 가져오는 게 안전한 했으면 거 같은 이제 와서 위험한,36.56의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
전 가장이 해안 되는 부분 백신 맞은 코로나 걸리는 상태 심각해지는 걸 완화 시키고 덜 아픈 해준다고 믿고 있는 뒷받침 할 통계 있나요 백신 안 맞는 이유 향후 안 백신 인한 부작용 발생 전문가 말 못 함 지금 임 상 중이 무료 현재 변 나오는 돌파 감염 발생 백신 무 미 백신 맞는 향후 개선 된 백신 맞은 시 나타날 수 있는 문제 모름 백신 맞는 아픈 될 시인 성 힘없는 개인 증명 하겠나,38.43의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
코로나 걸리는 죽는 백신 맞는 죽는,34.19의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
늦 장 대응 거 가지 고 남 탓 하려는 조오오오 나빌드 업 하는 뉴스 국회의원 천만 분 확보 했으면 말 하지 않은 안 까냐,34.13의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
죽는 운명 이면 데 함,34.47의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
하루 사람 명 죽는 만 명 넘는 사람 백신 맞은 죽는 그게 백신 때문 죽는 거,34.64의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백 명 사망 백 명 사망 보는 통계 학자 진짜 계산 감염 률 빼고 계산 싸 수학자 등장 하는 바라네,34.13의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
차 접종 완료 차 차 화이자 삼일 짼 데 차차 무증상 아무렇게나 일도 없는 육갑 사지 멀쩡하면 아무렇게나 없더라 코로나 걸리는 죽는 같은 접종 합니다 참고 초반 입니다 뻐근한 거 이틀 가는 일차 운동 다시 시작 했으면 걱정 맞은 될 듯 겁나면 안 맞은 선택 자유 생각 합니다 교차 접종 화이자 걱정 했으면 무증상 입니다 주변 분 맞은 멀쩡하게 이틀 논 가고일 하십니다,35.42의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
명 원래 죽 운명 말 안됭,34.96의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
확률 때문 안 맞은 건 바지,34.38의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
코로나 초기 달리 요즘 코로나 사망자 하루 명 백신 하루 명 그것 젊고 건강한 사람 가리지 않은,33.93의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 맞은 후 심각한 문제 생기는 대응 안 해주니 불안한 그래놓고 맞은 잘 맞은,34.63의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
차 접종 사망자 비율 따지면 높으니까 차 접종 따졌네,34.09의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
고이 차 접종 완료,33.77의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
지능 문제,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 맞는 죽는 돈 준다던데 죽는 사람 돈 줬나요,35.41의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
기 질환 없는 코로나 실질 사망률,34.03의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
코로나 방역 지키는 걸리는 확률 낮 백신 랜덤 인 게 무서운 거 인과성 관계도 인정 햊는 데 불신 생기는 건 당연한 듯,34.01의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
우리나라 심각하네 인정받은 사람 명 하는 정작 죽는 사람 많은,34.29의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 안 맞은 치명 률 중증 환자 많은 후유증 남는 반면 백신 맞은 치명 률 고 중증 환자 없으며 후유증 없는 영국 백신 접종 완료 함 하루 확 진자 만 명 사망자 명 그침,35.9의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 맞은 마스크 벗냐 백신 맞은 코로나 걸리는 사람 목숨 가지 고 확률 때리는,37.2의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
코로나 걸리는 나서 죽는 사람 코로나 때문 백신 맞는 나서 죽는 사람 백신 인과성 없데 풉,37.01의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
치료받는 비 진 단비 청구 해 쓰레기,35.02의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
코로나 사망자 걸리는 확률 사망 확률 백신 사망자 확률 비교 해보는 언론 이냐 초등학생 수학 나오는 논리 숨기냐 쓰레기 언론,33.88의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 말,34.39의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
임 상 중인 백신 의사 부작용 알아보는 백신 때문 인정이 안 되는 숫자 적게 잡히는 거 팩트 체크 할 거 면 똑바로 현황 알아보라고요 실제 부작용 겪는 사람 반응 신고 하려면 과정 거쳐야 보건소 대응 하는 숫자 놀이 의미 없는,37.31의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 맞는 죽는 사람 나오니 문제 인 거임,35.13의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 맞는 죽는 책임지는 기자,33.99의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
막는 거 잖아 댓글 만 보는 백신 맞은 거 불안하다는 댓글 많은 대체 뭘 믿고 맞은 건지 전문가 데리 고 와서 인터뷰 하면 다임 맞은 되는 정확한 증거 가지 고 오라 고,34.05의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
가짜 뉴스 국민 미치게 모든 가짜 뉴스 우익 기독교 단체 시작 되는 지도 조사해 처벌 해,34.9의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 예약 최소 했으면,34.44의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
인과성 성인 터 시작 해서 아무런 조치 없는 게 안전한 상 개인 방역 최우 선인 듯,34.64의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
차 예약 들어가는데요 월일 이후 소식 없는 죽는 겁니다,34.11의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
스웬덴 하는,33.75의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 거부 덜 자유 치자 거짓 선동 가짜 뉴스 엄히 다스려서 절대다수 보호 해보는 하는 자동차 사고 난다고 평생 걸어 다니는 격,33.81의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
위기 질환 타령 인과성 인 정안 햐 주자 누가 보는 건강한 사람 백신 맞는 죽었는데,34.24의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
나라 백신 맞는 사망 사람 인과성 관계 인정 안 버틴 거 말 안 함,37.89의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
맞은 예약 했으면 인제 와서 확인 하지 않은 거 내용 가지 고 뉴스 내보내지 마세요 확인 하지도 않은 불안한 떨고 계 분 많은 요안 맞는 생기는 면 책임지는 입,34.14의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
웃기는 고 있는 코로나 사망자 중증 환자 빼야지,33.85의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
뉴스 그런 속이려고 하지 마,34.62의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
저번 정말 건강한 소방관 백신 차 접종 심장마비 돌아가는 건 인과성 성인 성 안 된다는 건 개 오버 아닌,34.99의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
내 볼 땐 위험한 게 맞은 처음 이해한 정도 감수 대단하다 인정 결과 얻은 건 없는 문제 지금 백신 회사 싶은 거 세상 되었다는 거,35.1의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
현재 작년 말 코로나 한국 상륙 반 넘어가는데 사망자 천 명 백신 올해 맞은 시작 해서 개월 내 명 죽었어요 생각 해보는,34.33의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
억지 논리 설득 없는 백신 맞는 죽는 개인 입증 그냥 개죽음 이지 아무렇게나 책임지는 주지 않은 죽는 부작용 외면 하는 없어지지는 않은 정답 없는 문제 강요 하지 사람 사람 소중하지 않은 사람 없는 안위 스스로 판단 해서 결정 하는 존중 해보는 하는 생각 하는 무책임한 전문가 양반 나중 아닌 밝혀져도 말 바꾸면 요즘 그게 대세 만,35.37의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 안 맞은,34.4의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
